product_id,product_line,product_category,product_group,product_name,supplier_country,supplier_name,supplier_id,announcement_date,launch_date,lead_time,supplier_continent
210100100011,Children,Children Outdoors,"Outdoor things, Kids",Tiny Mouse Children's Mitten,SE,Svensson Trading AB,6355,2014-10-28T12:12:56.000+0000,2015-01-11T04:27:02.000+0000,75,Europe
210100100012,Children,Children Outdoors,"Outdoor things, Kids",4ce Ace Children's Jacket,NO,Scandinavian Clothing A/S,50,2014-03-05T19:28:05.000+0000,2014-06-01T13:27:49.000+0000,87,Europe
210100100013,Children,Children Outdoors,"Outdoor things, Kids",4ce Expedition Down Jacket,NO,Scandinavian Clothing A/S,50,2013-11-23T16:57:35.000+0000,2013-12-23T21:13:36.000+0000,31,Europe
210100100014,Children,Children Outdoors,"Outdoor things, Kids",4ce Filip Children's Rainwear,NO,Scandinavian Clothing A/S,50,2013-05-22T18:03:55.000+0000,2013-06-19T20:25:19.000+0000,29,Europe
210100100015,Children,Children Outdoors,"Outdoor things, Kids",4ce Grover Snow Jacket,NO,Scandinavian Clothing A/S,50,2013-01-27T20:20:12.000+0000,2013-05-06T18:25:20.000+0000,98,Europe
210100100016,Children,Children Outdoors,"Outdoor things, Kids",4ce Jaguar Snow Pants,NO,Scandinavian Clothing A/S,50,2013-12-12T19:27:26.000+0000,2014-02-05T18:34:28.000+0000,54,Europe
210100100017,Children,Children Outdoors,"Outdoor things, Kids",4ce Tiger Ski Jacket with Hood,NO,Scandinavian Clothing A/S,50,2013-05-27T20:38:25.000+0000,2013-10-22T21:41:07.000+0000,148,Europe
210100100018,Children,Children Outdoors,"Outdoor things, Kids",Amarone Children's Shorts,NO,Scandinavian Clothing A/S,50,2013-01-08T02:28:34.000+0000,2013-03-10T16:21:16.000+0000,61,Europe
210100100019,Children,Children Outdoors,"Outdoor things, Kids",Blondie Girl's Ski Jacket,NO,Scandinavian Clothing A/S,50,2014-07-10T19:31:25.000+0000,2015-01-03T21:11:33.000+0000,178,Europe
210100100020,Children,Children Outdoors,"Outdoor things, Kids",Dean Creek Children's Vest,NO,Scandinavian Clothing A/S,50,2013-05-06T15:32:51.000+0000,2013-06-24T02:11:49.000+0000,49,Europe
210100100021,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Down Jacket,SE,Petterson AB,109,2013-08-10T12:21:05.000+0000,2013-09-28T00:27:27.000+0000,49,Europe
210100100022,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Vest,SE,Petterson AB,109,2014-03-24T10:20:23.000+0000,2014-09-11T14:21:27.000+0000,171,Europe
210100100023,Children,Children Outdoors,"Outdoor things, Kids",Massif Freeride Jr.Gtx Gloves,FR,Massif S.A.,13199,2014-07-04T13:21:02.000+0000,2014-11-30T06:48:12.000+0000,149,Europe
210100100024,Children,Children Outdoors,"Outdoor things, Kids",Massif Penquin Polyester Socks,FR,Massif S.A.,13199,2014-04-05T08:06:50.000+0000,2014-09-07T01:44:12.000+0000,155,Europe
210100100025,Children,Children Outdoors,"Outdoor things, Kids",Monster Children's Pants with Zipper,NO,Scandinavian Clothing A/S,50,2014-10-17T07:19:40.000+0000,2015-01-09T20:58:23.000+0000,85,Europe
210100100026,Children,Unknown,"Outdoor things, Kids",Montana Children's Gloves,SE,Svensson Trading AB,6355,2013-04-02T12:15:20.000+0000,2013-04-30T07:34:47.000+0000,28,Europe
210100100027,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's mitten,SE,Svensson Trading AB,6355,2014-11-26T20:20:53.000+0000,2015-01-18T22:38:35.000+0000,53,Europe
210100100028,Children,Children Outdoors,"Outdoor things, Kids",Ranger Children's T-Shirt,NO,Scandinavian Clothing A/S,50,2013-08-28T02:57:22.000+0000,2013-10-26T13:36:50.000+0000,59,Europe
210100100029,Children,Children Outdoors,"Outdoor things, Kids",Scania Children's Gloves,SE,Svensson Trading AB,6355,2013-10-18T13:30:11.000+0000,2014-01-06T11:49:09.000+0000,80,Europe
210100100030,Children,Children Outdoors,"Outdoor things, Kids",Scania Goretex Junior Gloves,SE,Svensson Trading AB,6355,2013-11-16T04:32:05.000+0000,2014-02-01T08:40:34.000+0000,77,Europe
210100100031,Children,Children Outdoors,"Outdoor things, Kids",Tasmania Children's Shirt,NO,Scandinavian Clothing A/S,50,2014-12-02T23:02:53.000+0000,2015-03-11T01:01:05.000+0000,98,Europe
210100100032,Children,Children Outdoors,"Outdoor things, Kids",Tony's Nuptse Jacket,US,Miller Trading Inc,15218,2013-08-20T20:17:39.000+0000,2013-11-17T00:09:34.000+0000,88,America
210100100033,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Down Jacket,US,Top Sports Inc,14648,2013-09-03T11:51:21.000+0000,2014-01-05T16:38:38.000+0000,124,America
210100100034,Children,Children Outdoors,"Outdoor things, Kids","Top Children's R&D Jacket, Long",US,Top Sports Inc,14648,2014-06-18T20:35:28.000+0000,2014-10-03T13:25:01.000+0000,106,America
210100100035,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Pants,US,Top Sports Inc,14648,2013-01-11T07:01:27.000+0000,2013-04-09T15:17:02.000+0000,88,America
210100100036,Children,Children Outdoors,"Outdoor things, Kids",Top Children's Ski Pullover,US,Top Sports Inc,14648,2013-02-18T01:01:42.000+0000,2013-06-03T07:26:57.000+0000,105,America
210100100037,Children,Children Outdoors,"Outdoor things, Kids","Top Junior Fleece Hat, Polyester",US,Top Sports Inc,14648,2014-11-01T18:14:11.000+0000,2014-12-22T06:58:35.000+0000,51,America
210100100038,Children,Children Outdoors,"Outdoor things, Kids",Top Junior T-Neck Fleece,US,Top Sports Inc,14648,2013-02-03T17:25:35.000+0000,2013-07-13T20:49:14.000+0000,161,America
210100100039,Children,Children Outdoors,"Outdoor things, Kids",Twain Flash 100 Jr. Ski Gloves,US,Twain Inc,13198,2013-04-28T11:19:19.000+0000,2013-09-09T20:08:31.000+0000,135,America
210100100040,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Jacket,US,AllSeasons Outdoor Clothing,772,2013-11-26T17:55:57.000+0000,2013-12-17T16:14:41.000+0000,21,America
210100100041,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Pants,US,AllSeasons Outdoor Clothing,772,2013-05-07T09:09:11.000+0000,2013-10-13T19:51:15.000+0000,159,America
210100100042,Children,Children Outdoors,"Outdoor things, Kids",3 K Children's Shoes,US,3Top Sports,2963,2013-08-21T04:22:47.000+0000,2013-10-01T12:18:19.000+0000,41,America
210100100043,Children,Children Outdoors,"Outdoor things, Kids",3top Children's Shoes,US,3Top Sports,2963,2014-01-12T17:14:24.000+0000,2014-06-08T05:48:56.000+0000,147,America
210100100044,Children,Children Outdoors,"Outdoor things, Kids",3top Infant Baby Shoes,US,3Top Sports,2963,2014-07-17T00:03:15.000+0000,2014-09-22T15:53:15.000+0000,67,America
210100100045,Children,Children Outdoors,"Outdoor things, Kids",4goal 2 Trx Junior Football Boots,US,3Top Sports,2963,2013-03-18T21:35:28.000+0000,2013-05-21T10:55:02.000+0000,63,America
210100100046,Children,Children Outdoors,"Outdoor things, Kids",4goal Trx J Football Boots,US,3Top Sports,2963,2013-07-12T20:51:58.000+0000,2013-09-30T16:34:20.000+0000,79,America
210100100047,Children,Children Outdoors,"Outdoor things, Kids",Ana Mini Panty,ES,Luna sastreria S.A.,4742,2013-12-20T03:58:44.000+0000,2014-02-26T19:34:06.000+0000,69,Europe
210100100048,Children,Children Outdoors,"Outdoor things, Kids",Ana Shorts,ES,Luna sastreria S.A.,4742,2014-12-12T11:34:25.000+0000,2014-12-28T17:39:55.000+0000,16,Europe
210100100049,Children,Children Outdoors,"Outdoor things, Kids",Ana Top,ES,Luna sastreria S.A.,4742,2014-05-28T04:21:16.000+0000,2014-10-02T11:50:20.000+0000,127,Europe
210100100050,Children,Children Outdoors,"Outdoor things, Kids",Ancnw Children's Shoes,US,3Top Sports,2963,2013-03-16T16:10:13.000+0000,2013-06-12T20:27:38.000+0000,89,America
210200100001,Children,Children Sports,"A-Team, Kids",A-team Children's Shorts w/Pockets,US,A Team Sports,3298,2013-07-19T13:27:22.000+0000,2013-09-03T18:19:44.000+0000,46,America
210200100002,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat Pants,US,A Team Sports,3298,2013-10-10T13:59:53.000+0000,2014-01-25T01:30:42.000+0000,107,America
210200100003,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat R.Neck Big Logo,US,A Team Sports,3298,2013-02-01T12:03:23.000+0000,2013-07-09T02:35:48.000+0000,158,America
210200100004,Children,Children Sports,"A-Team, Kids","A-team Children's Sweat w/Hood,Big Logo",US,A Team Sports,3298,2014-04-21T20:23:19.000+0000,2014-08-24T23:44:20.000+0000,125,America
210200100005,Children,Children Sports,"A-Team, Kids",A-team Children's T-Shirt,US,A Team Sports,3298,2013-06-21T22:38:56.000+0000,2013-07-18T01:01:26.000+0000,26,America
210200100006,Children,Children Sports,"A-Team, Kids",A-team Children's T-Shirt w/Big Logo,US,A Team Sports,3298,2013-03-30T11:16:53.000+0000,2013-05-12T03:50:50.000+0000,43,America
210200100007,Children,Children Sports,"A-Team, Kids",A-team Shiny Children's Pants,US,A Team Sports,3298,2013-10-09T01:25:56.000+0000,2014-02-21T09:17:07.000+0000,135,America
210200100008,Children,Children Sports,"A-Team, Kids",Fleece Children's Fleece w/Hood,US,A Team Sports,3298,2014-01-02T06:02:40.000+0000,2014-05-15T17:02:53.000+0000,133,America
210200100009,Children,Children Sports,"A-Team, Kids","Kids Sweat Round Neck,Large Logo",US,A Team Sports,3298,2014-10-17T08:14:15.000+0000,2014-11-12T12:59:10.000+0000,26,America
210200100010,Children,Children Sports,"A-Team, Kids","Kids Sweat with Hood, Large Logo",US,A Team Sports,3298,2014-09-05T20:24:21.000+0000,2014-12-02T01:57:13.000+0000,87,America
210200100011,Children,Children Sports,"A-Team, Kids",Ottis Children's Legend Suit,US,A Team Sports,3298,2013-07-21T14:52:34.000+0000,2014-01-11T08:39:00.000+0000,174,America
210200100012,Children,Children Sports,"A-Team, Kids",Ottis Children's Pants Bl,US,3Top Sports,2963,2014-05-12T06:46:49.000+0000,2014-10-09T04:03:39.000+0000,150,America
210200100013,Children,Children Sports,"A-Team, Kids",Pants Shiny Children's Pants,US,A Team Sports,3298,2013-03-12T03:25:08.000+0000,2013-06-15T21:26:56.000+0000,96,America
210200100014,Children,Children Sports,"A-Team, Kids",SweatPants Children's Sweat Pants Long,US,A Team Sports,3298,2014-06-28T17:52:10.000+0000,2014-07-18T20:42:36.000+0000,21,America
210200100015,Children,Children Sports,"A-Team, Kids",SweatPants Children's Sweat Pants,US,A Team Sports,3298,2013-10-18T18:19:08.000+0000,2014-03-16T03:46:53.000+0000,149,America
210200100016,Children,Children Sports,"A-Team, Kids",SweatPants  Children's Sweat Pants with Small,US,A Team Sports,3298,2013-04-18T06:02:43.000+0000,2013-10-07T12:57:36.000+0000,172,America
210200100017,Children,Children Sports,"A-Team, Kids",Sweatshirt Children's O-Neck,US,A Team Sports,3298,2013-07-23T06:43:19.000+0000,2014-01-14T01:02:37.000+0000,175,America
210200100018,Children,Children Sports,"A-Team, Kids",Sweatshirt Children's Sweat w/Zipper Varsity,US,A Team Sports,3298,2014-10-21T23:11:14.000+0000,2015-03-17T02:26:59.000+0000,146,America
210200100019,Children,Children Sports,"A-Team, Kids","Sweatshirt Children's Sweatshirt, O-Neck",US,A Team Sports,3298,2013-08-09T04:40:17.000+0000,2013-11-22T18:27:24.000+0000,105,America
210200200001,Children,Children Sports,"Bathing Suits, Kids",Gamma Swimming Trunks,US,Dolphin Sportswear Inc,16292,2014-03-02T06:40:07.000+0000,2014-04-28T10:20:06.000+0000,57,America
210200200002,Children,Children Sports,"Bathing Suits, Kids",Legsuit Girl's Swim Suit,US,Dolphin Sportswear Inc,16292,2013-02-24T10:39:05.000+0000,2013-03-14T07:01:57.000+0000,18,America
210200200003,Children,Children Sports,"Bathing Suits, Kids",Rash Vest Sun Protection,US,Dolphin Sportswear Inc,16292,2013-05-25T06:25:18.000+0000,2013-08-02T12:09:40.000+0000,69,America
210200200004,Children,Children Sports,"Bathing Suits, Kids",Short Boy's Swimming Trunks,US,Dolphin Sportswear Inc,16292,2014-08-30T19:17:23.000+0000,2014-11-07T13:17:20.000+0000,69,America
210200200005,Children,Children Sports,"Bathing Suits, Kids",Swim Suit Jr.,US,Nautlius SportsWear Inc,6153,2013-11-10T05:43:45.000+0000,2014-01-21T05:23:03.000+0000,72,America
210200200006,Children,Children Sports,"Bathing Suits, Kids",Swimming Trunks Domo,ES,Luna sastreria S.A.,4742,2014-05-19T10:03:21.000+0000,2014-10-28T15:02:45.000+0000,162,Europe
210200200007,Children,Children Sports,"Bathing Suits, Kids",Swimming Trunks Jr.,US,Nautlius SportsWear Inc,6153,2014-08-07T01:26:43.000+0000,2014-11-03T13:40:18.000+0000,88,America
210200200008,Children,Children Sports,"Bathing Suits, Kids",Clear Boy's Short Sun Protection,US,Dolphin Sportswear Inc,16292,2014-05-05T23:56:44.000+0000,2014-07-16T22:34:30.000+0000,72,America
210200200009,Children,Children Sports,"Bathing Suits, Kids","Fashion Scuba Suit Sun Protection, Girl",US,Dolphin Sportswear Inc,16292,2014-04-21T15:29:12.000+0000,2014-08-04T07:12:55.000+0000,105,America
210200200010,Children,Children Sports,"Bathing Suits, Kids",Fastlane Swim Suit,US,Dolphin Sportswear Inc,16292,2014-11-17T09:21:25.000+0000,2015-03-30T19:54:25.000+0000,133,America
210200200011,Children,Children Sports,"Bathing Suits, Kids",Sunfit Arabella Jr. Girl's Swim Suit,US,Nautlius SportsWear Inc,6153,2013-09-24T15:40:17.000+0000,2014-01-21T16:33:57.000+0000,119,America
210200200012,Children,Children Sports,"Bathing Suits, Kids",Sunfit Brosman Swimming Trunks,US,Nautlius SportsWear Inc,6153,2013-11-02T19:17:42.000+0000,2013-12-26T21:22:03.000+0000,55,America
210200200013,Children,Children Sports,"Bathing Suits, Kids",Sunfit Brosman Swimming Trunks Jr.,US,Nautlius SportsWear Inc,6153,2014-10-10T16:17:08.000+0000,2014-11-19T00:06:30.000+0000,40,America
210200200014,Children,Children Sports,"Bathing Suits, Kids",Sunfit Doonyl Swim Suit,US,Nautlius SportsWear Inc,6153,2013-10-15T08:59:40.000+0000,2014-02-15T13:55:11.000+0000,123,America
210200200015,Children,Children Sports,"Bathing Suits, Kids",Sunfit Madrochka Swim Suit,US,Nautlius SportsWear Inc,6153,2013-12-24T14:44:55.000+0000,2014-02-04T19:00:59.000+0000,43,America
210200200016,Children,Children Sports,"Bathing Suits, Kids",Sunfit Malika Swim Suit Jr.,US,Nautlius SportsWear Inc,6153,2014-07-06T20:46:07.000+0000,2014-08-08T06:28:12.000+0000,32,America
210200200017,Children,Children Sports,"Bathing Suits, Kids",Sunfit Maximum Swim Suit Jr.,US,Nautlius SportsWear Inc,6153,2013-04-24T23:54:12.000+0000,2013-08-24T08:04:09.000+0000,121,America
210200200018,Children,Children Sports,"Bathing Suits, Kids",Sunfit Moreau Swim Suit Jr.,US,Nautlius SportsWear Inc,6153,2014-07-30T00:57:09.000+0000,2014-12-14T20:51:16.000+0000,138,America
210200200019,Children,Children Sports,"Bathing Suits, Kids",Sunfit Pants Scotish Jr.,US,Nautlius SportsWear Inc,6153,2014-07-11T00:08:01.000+0000,2014-10-05T02:11:53.000+0000,86,America
210200200020,Children,Children Sports,"Bathing Suits, Kids",Sunfit Pants Slang Jr.,US,Nautlius SportsWear Inc,6153,2014-11-04T01:47:41.000+0000,2015-05-01T21:27:22.000+0000,179,America
210200200021,Children,Children Sports,"Bathing Suits, Kids",Sunfit Sebas Swimming Trunks,US,Nautlius SportsWear Inc,6153,2013-08-06T22:46:25.000+0000,2013-11-04T18:27:02.000+0000,89,America
210200200022,Children,Children Sports,"Bathing Suits, Kids",Sunfit Slow Swimming Trunks,US,Nautlius SportsWear Inc,6153,2014-07-11T20:32:47.000+0000,2014-10-09T03:22:21.000+0000,89,America
210200200023,Children,Children Sports,"Bathing Suits, Kids",Sunfit Stockton Swimming Trunks Jr.,US,Nautlius SportsWear Inc,6153,2013-06-27T18:41:39.000+0000,2013-11-11T06:45:43.000+0000,137,America
210200200024,Children,Children Sports,"Bathing Suits, Kids",Sunfit Swim Suit Magia Jr.,US,Nautlius SportsWear Inc,6153,2014-09-22T17:59:46.000+0000,2015-01-01T00:21:57.000+0000,101,America
210200200025,Children,Children Sports,"Bathing Suits, Kids",Sunfit Team Stretch Children's Swim Suit,US,Nautlius SportsWear Inc,6153,2013-05-19T17:43:37.000+0000,2013-09-06T15:56:12.000+0000,110,America
210200200026,Children,Children Sports,"Bathing Suits, Kids",Sunfit Team Stretch Jr. Swimming Trunks,US,Nautlius SportsWear Inc,6153,2014-02-04T22:03:34.000+0000,2014-02-24T19:41:43.000+0000,20,America
210200200027,Children,Children Sports,"Bathing Suits, Kids",Swim Suit Fellini Jr. Swim Suit,US,Nautlius SportsWear Inc,6153,2014-05-10T04:42:10.000+0000,2014-06-10T14:18:44.000+0000,31,America
210200200028,Children,Children Sports,"Bathing Suits, Kids",Swim Suit Mirmon Jr. Swim Suit,US,Nautlius SportsWear Inc,6153,2014-06-05T05:37:31.000+0000,2014-09-12T10:01:23.000+0000,99,America
210200200029,Children,Children Sports,"Bathing Suits, Kids",Universe Swim Suit,US,Dolphin Sportswear Inc,16292,2014-04-25T22:57:14.000+0000,2014-08-07T11:17:51.000+0000,103,America
210200200030,Children,Children Sports,"Bathing Suits, Kids",Yep Girl's Bikini,US,Dolphin Sportswear Inc,16292,2014-01-14T00:27:27.000+0000,2014-04-01T16:00:54.000+0000,77,America
210200200031,Children,Children Sports,"Bathing Suits, Kids",Fun Swim Tights,ES,Luna sastreria S.A.,4742,2013-02-05T13:02:42.000+0000,2013-04-14T02:05:20.000+0000,68,Europe
210200200032,Children,Children Sports,"Bathing Suits, Kids",Gary Swimming Trunks,ES,Luna sastreria S.A.,4742,2013-07-17T11:36:33.000+0000,2013-09-24T15:30:48.000+0000,69,Europe
210200300001,Children,Children Sports,"Eclipse, Kid's Clothes",Children's Sweatshirt w/Big Logo,US,Eclipse Inc,1303,2014-05-09T02:32:28.000+0000,2014-07-28T11:11:43.000+0000,80,America
210200300002,Children,Children Sports,"Eclipse, Kid's Clothes",Plain Fleece Crew Kid's,US,Eclipse Inc,1303,2013-02-08T21:32:47.000+0000,2013-07-21T11:43:24.000+0000,162,America
210200300003,Children,Children Sports,"Eclipse, Kid's Clothes",Rocket Tactel Jacket,US,Eclipse Inc,1303,2013-08-05T15:38:32.000+0000,2013-10-13T09:36:47.000+0000,69,America
210200300004,Children,Children Sports,"Eclipse, Kid's Clothes",Swoosh Tee Kids Comp. Tops,US,Eclipse Inc,1303,2013-01-09T03:43:19.000+0000,2013-05-06T18:31:01.000+0000,117,America
210200300005,Children,Children Sports,"Eclipse, Kid's Clothes",Coolman Gym Sack,US,Eclipse Inc,1303,2014-06-25T05:56:22.000+0000,2014-12-17T23:03:20.000+0000,176,America
210200300006,Children,Children Sports,"Eclipse, Kid's Clothes",Fleece Cuff Pant Kid'S,US,Eclipse Inc,1303,2013-07-12T12:20:51.000+0000,2013-08-02T12:40:29.000+0000,21,America
210200300007,Children,Children Sports,"Eclipse, Kid's Clothes",Hsc Dutch Player Shirt Junior,US,Eclipse Inc,1303,2013-01-26T16:06:31.000+0000,2013-03-05T10:17:14.000+0000,38,America
210200300008,Children,Children Sports,"Eclipse, Kid's Clothes",Kid Fleece Crew,US,Eclipse Inc,1303,2014-05-20T21:14:47.000+0000,2014-11-06T11:10:39.000+0000,169,America
210200300009,Children,Children Sports,"Eclipse, Kid's Clothes",Kid V-Neck T-Shirt,US,Eclipse Inc,1303,2013-10-07T11:37:59.000+0000,2013-11-07T22:04:00.000+0000,32,America
210200300010,Children,Children Sports,"Eclipse, Kid's Clothes",Kids Children's Shorts,US,Eclipse Inc,1303,2013-05-03T16:26:45.000+0000,2013-07-08T05:12:28.000+0000,66,America
210200300011,Children,Children Sports,"Eclipse, Kid's Clothes",Kids Children's Sweatshirt,US,Eclipse Inc,1303,2014-04-18T19:44:40.000+0000,2014-05-16T22:41:24.000+0000,29,America
210200300012,Children,Children Sports,"Eclipse, Kid's Clothes",Kids Children's Sweatshirt w/Nike Logo,US,Eclipse Inc,1303,2013-05-11T05:19:09.000+0000,2013-11-02T00:39:55.000+0000,175,America
210200300013,Children,Children Sports,"Eclipse, Kid's Clothes",Kids Children's T-Shirt,US,Eclipse Inc,1303,2013-03-27T13:07:46.000+0000,2013-06-18T05:29:21.000+0000,83,America
210200300014,Children,Children Sports,"Eclipse, Kid's Clothes",Kids Children's Tracking Suit,US,Eclipse Inc,1303,2013-12-12T10:15:06.000+0000,2014-04-22T01:13:28.000+0000,131,America
210200300015,Children,Children Sports,"Eclipse, Kid's Clothes",Small Kid's Shorts,US,Eclipse Inc,1303,2013-12-19T07:32:15.000+0000,2014-02-20T04:27:31.000+0000,63,America
210200300016,Children,Children Sports,"Eclipse, Kid's Clothes",Small Kid's Sweatshirt,US,Eclipse Inc,1303,2013-05-10T22:25:24.000+0000,2013-06-28T13:57:52.000+0000,48,America
210200300017,Children,Children Sports,"Eclipse, Kid's Clothes",Small Kid's T-Shirt,US,Eclipse Inc,1303,2013-07-02T18:14:20.000+0000,2013-10-08T12:39:33.000+0000,98,America
210200300018,Children,Children Sports,"Eclipse, Kid's Clothes",Small Kid's Tracking Pants,US,Eclipse Inc,1303,2013-06-14T21:13:33.000+0000,2013-11-27T12:44:17.000+0000,165,America
210200300019,Children,Children Sports,"Eclipse, Kid's Clothes",Sweatshirt Children's Sweatshirt,US,Eclipse Inc,1303,2014-02-23T19:16:15.000+0000,2014-06-06T14:53:49.000+0000,102,America
210200300020,Children,Children Sports,"Eclipse, Kid's Clothes",Sweatshirt Children's Sweatshirt w/Hood L,US,3Top Sports,2963,2013-11-16T11:15:03.000+0000,2014-02-06T01:32:29.000+0000,82,America
210200300021,Children,Children Sports,"Eclipse, Kid's Clothes",Sweatshirt Children's Sweatshirt w/O-Neck,US,Eclipse Inc,1303,2014-02-27T14:50:36.000+0000,2014-06-03T05:43:21.000+0000,96,America
210200300022,Children,Children Sports,"Eclipse, Kid's Clothes",Teen Brand Cap,US,Eclipse Inc,1303,2014-07-29T14:17:18.000+0000,2015-01-17T07:57:22.000+0000,172,America
210200300023,Children,Children Sports,"Eclipse, Kid's Clothes",Toddle Full-Zip Cover Up,US,Eclipse Inc,1303,2013-11-29T11:59:44.000+0000,2014-01-13T09:21:36.000+0000,45,America
210200300024,Children,Children Sports,"Eclipse, Kid's Clothes",Toddle Heavy Fill Jacket,US,Eclipse Inc,1303,2014-10-19T19:35:27.000+0000,2014-12-21T18:52:03.000+0000,63,America
210200300025,Children,Children Sports,"Eclipse, Kid's Clothes",Toddle Knit Crew,US,Eclipse Inc,1303,2014-12-23T14:12:49.000+0000,2015-01-12T18:45:38.000+0000,20,America
210200300026,Children,Children Sports,"Eclipse, Kid's Clothes",Toddle Novelty Fleece,US,Eclipse Inc,1303,2013-04-02T02:45:49.000+0000,2013-08-09T11:13:34.000+0000,129,America
210200300027,Children,Children Sports,"Eclipse, Kid's Clothes",Toddle Work Out Pants,US,Eclipse Inc,1303,2014-08-18T10:50:18.000+0000,2014-10-14T09:57:55.000+0000,57,America
210200300028,Children,Children Sports,"Eclipse, Kid's Clothes",Toddle Wowen Pants,US,Eclipse Inc,1303,2014-02-16T08:08:55.000+0000,2014-05-15T21:03:04.000+0000,89,America
210200300029,Children,Children Sports,"Eclipse, Kid's Clothes",Toddler Anti Slip Sock,US,Eclipse Inc,1303,2013-04-13T08:04:26.000+0000,2013-06-11T23:54:01.000+0000,60,America
210200300030,Children,Children Sports,"Eclipse, Kid's Clothes",Toddler Backpack,US,Eclipse Inc,1303,2013-10-09T19:18:10.000+0000,2014-02-26T17:08:53.000+0000,140,America
210200300031,Children,Children Sports,"Eclipse, Kid's Clothes",Toddler New Anti Slip Socks,US,Eclipse Inc,1303,2013-04-23T00:04:24.000+0000,2013-10-19T02:24:32.000+0000,179,America
210200300032,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's 1/2 Zip Fleece Top,US,Eclipse Inc,1303,2014-05-18T04:41:36.000+0000,2014-08-20T16:38:31.000+0000,94,America
210200300033,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's 1/2 Zip Polar Fleece Top,US,Eclipse Inc,1303,2014-12-05T12:15:55.000+0000,2015-02-09T06:46:04.000+0000,66,America
210200300034,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's 3d Air Tee,US,Eclipse Inc,1303,2014-08-19T14:13:39.000+0000,2014-12-21T10:03:09.000+0000,124,America
210200300035,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's 3d Swoosh Tee,US,Eclipse Inc,1303,2014-06-01T12:13:18.000+0000,2014-10-06T18:38:50.000+0000,127,America
210200300036,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's Athletic Shorts,US,Eclipse Inc,1303,2014-03-24T05:02:01.000+0000,2014-05-15T03:10:40.000+0000,52,America
210200300037,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's Athletic T-Shirt,US,Eclipse Inc,1303,2014-08-26T07:48:52.000+0000,2014-12-05T16:00:06.000+0000,101,America
210200300038,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's Backpack,US,Eclipse Inc,1303,2013-07-08T14:00:41.000+0000,2013-08-04T05:07:15.000+0000,27,America
210200300039,Children,Children Sports,"Eclipse, Kid's Clothes",Tony's Basic Swoosh Hat,US,Eclipse Inc,1303,2013-10-27T11:53:29.000+0000,2013-12-03T10:05:15.000+0000,37,America
